UsedName;CZARmean;Authors;Year;Title;Journal;study.ID;selected
Pterogorgia anceps;104.2;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;1
Plexaurella nutans;153.9;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;
Rhytisma fulvum (shallow);159.7;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Rhytisma fulvum (deep);145.2;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Litophyton sp. (shallow);236;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Litophyton sp. (deep);560.1;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Briareum asbestinum 1;101.4;Ramsby et al;2019;Symbiosis and host morphological variation: Symbiodiniaceae photosynthesis in the octocoral Briareum asbestinum at ambient and elevated temperatures;Coral Reefs;6;1
Briareum asbestinum 2;53.3;Ramsby et al;2019;Symbiosis and host morphological variation: Symbiodiniaceae photosynthesis in the octocoral Briareum asbestinum at ambient and elevated temperatures;Coral Reefs;6;1
Antillogorgia acerosa;186;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
Gorgonia ventalina;187;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
Pterogorgia anceps;129;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;
Eunicea calyculata;100;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
Eunicea flexuosa;98;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
Eunicea mammosa;145;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
Eunicea succinea;115;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
Plexaura homomalla;85;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
Plexaurella nutans 1;64;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;1
