"UsedName";"Pmean";"Symbiont";"Authors";"Year";"Title";"Journal";"study.ID"
"Pterogorgia anceps";374.5;"Zooxanthellate";"Rossi et al";2020;"Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends";"Coral Reefs";3
"Plexaurella nutans";327.1;"Zooxanthellate";"Rossi et al";2020;"Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends";"Coral Reefs";3
"Rhytisma fulvum (shallow)";554;"Zooxanthellate";"Pupier et al";2019;"Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses";"Scientific Reports";5
"Rhytisma fulvum (deep)";710;"Zooxanthellate";"Pupier et al";2019;"Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses";"Scientific Reports";5
"Litophyton sp. (shallow)";958;"Zooxanthellate";"Pupier et al";2019;"Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses";"Scientific Reports";5
"Litophyton sp. (deep)";829;"Zooxanthellate";"Pupier et al";2019;"Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses";"Scientific Reports";5
"Lobophytum spp. (shallow)";166.7;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Lobophytum spp. (deep)";129.2;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Sarcophyton spp. (shallow)";208.3;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Sarcophyton spp. (deep)";283.3;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Sinularia spp. (shallow)";337.5;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Sinularia spp. (deep)";312.5;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Capnella lacertiliensis (shallow)";445.8;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Capnella lacertiliensis (deep)";133.3;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Litophyton spp.";637.5;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Paralemnalia spp. (shallow)";387.5;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Paralemnalia spp. (deep)";341.7;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Asterospicularia sp.";112.5;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
"Alcyonacea sp. (shallow)";650;"Zooxanthellate";"Fabricius and Klumpp";1995;"Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis";"Marine Ecology Progress Series";103
