UsedName;Pmean;Symbiont;Authors;Year;Title;Journal;study.ID;selected
Pterogorgia anceps;374.5;Zooxanthellate;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;1
Plexaurella nutans;327.1;Zooxanthellate;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;1
Rhytisma fulvum (shallow);554;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Rhytisma fulvum (deep);710;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Litophyton sp. (shallow);958;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Litophyton sp. (deep);829;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Lobophytum spp. (shallow);166.7;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Lobophytum spp. (deep);129.2;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Sarcophyton spp. (shallow);208.3;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Sarcophyton spp. (deep);283.3;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Sinularia spp. (shallow);337.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Sinularia spp. (deep);312.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Capnella lacertiliensis (shallow);445.8;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Capnella lacertiliensis (deep);133.3;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Litophyton spp.;637.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Paralemnalia spp. (shallow);387.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Paralemnalia spp. (deep);341.7;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Asterospicularia sp.;112.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Alcyonacea sp. (shallow);650;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Alcyonacea sp. (deep);375;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Xenia spp.;383.3;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Briareum stechei (shallow);187.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Briareum stechei (deep);150;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1
Alcyonium sp.;70.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Cladiella humesi;39.9;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Klyxum molle;133.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
Lobophytum gazellae;23.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1
