Species;Rmean;Symbiont;Authors;Year;Title;Journal;study.ID;selected
Pterogorgia anceps;359.4;Zooxanthellate;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;1
Plexaurella nutans;212.5;Zooxanthellate;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;1
Rhytisma fulvum (shallow);347;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Rhytisma fulvum (deep);489;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Litophyton sp. (shallow);406;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Litophyton sp. (deep);148;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1
Eunicella singularis;86.2;Zooxanthellate;Coma et al;2015;Natural heterotrophic feeding by a temperate octocoral with symbiotic zooxanthellae: a contribution to understanding the mechanisms of die-off events;Coral Reefs;26;1
Eunicella cavolini;115.2;Azooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;1
Eunicella singularis;185.5;Zooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;
Paramuricea clavata;255.7;Azooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;1
Corallium rubrum;219.2;Azooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;1
Leptogorgia sarmentosa;155;Azooxanthellate;Rossi et al;2004;Temporal variability in zooplankton prey capture rate of the passive suspension feeder Leptogorgia sarmentosa (Cnidaria: Octocorallia), a case study;Marine Biology;77;
