UsedName;Rmean;Symbiont;Authors;Year;Title;Journal;study.ID;selected;Climate
Pterogorgia anceps;359.4;Zooxanthellate;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;1;Tropical
Plexaurella nutans;212.5;Zooxanthellate;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;1;Tropical
Rhytisma fulvum (shallow);347;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1;Tropical
Rhytisma fulvum (deep);489;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1;Tropical
Litophyton sp. (shallow);406;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1;Tropical
Litophyton sp. (deep);148;Zooxanthellate;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;1;Tropical
Eunicella singularis;86.2;Zooxanthellate;Coma et al;2015;Natural heterotrophic feeding by a temperate octocoral with symbiotic zooxanthellae: a contribution to understanding the mechanisms of die-off events;Coral Reefs;26;1;Temperate
Eunicella cavolini;115.2;Azooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;1;Temperate
Eunicella singularis;185.5;Zooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;;Temperate
Paramuricea clavata;255.7;Azooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;1;Temperate
Corallium rubrum;219.2;Azooxanthellate;Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;1;Temperate
Leptogorgia sarmentosa;155;Azooxanthellate;Rossi et al;2004;Temporal variability in zooplankton prey capture rate of the passive suspension feeder Leptogorgia sarmentosa (Cnidaria: Octocorallia), a case study;Marine Biology;77;;Temperate
Primnoisis (Primnoisis) antarctica;1.1;Azooxanthellate;Orejas et al;2003;Role of small-plankton communities in the diet of two Antarctic octocorals (Primnoisis antarctica and Primnoella sp.);Marine Ecology Progress Series;79;1;Polar
Leptogorgia sarmentosa;155;Azooxanthellate;Ribes et al;2003;Natural feeding of the temperate asymbiotic octocoral-gorgonian Leptogorgia sarmentosa (Cnidaria: Ocotocorallia);Marine Ecology Progress Series;80;1;Temperate
Paramuricea clavata;188.3;Azooxanthellate;Coma et al;2002;Seasonality of in situ respiration rate in three temperate benthic suspension feeders;Limnology and Oceanography;81;;Temperate
Alcyonium digitatum;160;Azooxanthellate;Migné and Davoult;2002;Experimental nutrition in the soft coral Alcyonium digitatum (Cnidaria: Octocorallia): Removal rate of phytoplankton and zooplankton;Cahiers de Biologie Marine;84;1;Temperate
Dendronephthya sp.;252.1;Azooxanthellate;Widdig and Schlichter;2001;Phytoplankton: A significant trophic source for soft corals?;Helgoland Marine Research;89;1;Tropical
Dendronephthya hemprichi;269.2;Azooxanthellate;Fabricius et al;1998;In situ depletion of phytoplankton by an azooxanthellate soft coral;Limnology and Oceanography;98;;Tropical
Eunicea flexuosa;532.1;Zooxanthellate;Ribes et al;1998;Heterotrophic feeding by gorgonian corals with symbiotic zooxanthella;Limnology and Oceanography;100;1;Tropical
Lobophytum spp. (shallow);112.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Lobophytum spp. (deep);141.7;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Sarcophyton spp. (shallow);158.3;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Sarcophyton spp. (deep);154.2;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Sinularia spp. (shallow);291.7;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Sinularia spp. (deep);262.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Capnella lacertiliensis (shallow);241.7;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Capnella lacertiliensis (deep);154.2;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Litophyton spp.;458.3;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Paralemnalia spp. (shallow);316.7;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Paralemnalia spp. (deep);354.2;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Asterospicularia sp.;175;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Alcyonacea sp. (shallow);362.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Alcyonacea sp. (deep);337.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Xenia spp.;250;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Briareum stechei (shallow);125;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Briareum stechei (deep);187.5;Zooxanthellate;Fabricius and Klumpp;1995;Widespread mixotrophy in reef-inhabiting soft corals: the influence of depth, and colony expansion and contraction on photosynthesis;Marine Ecology Progress Series;103;1;Tropical
Dendronephthya hemprichi;269.2;Azooxanthellate;Fabricius et al;1995;Flow-dependent herbivory and growth in zooxanthellae-free soft corals;Limnology and Oceanography;104;1;Tropical
Alcyonium sp.;34.6;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Cladiella humesi;15;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Klyxum molle;195;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Lobophytum gazellae;28.8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Lobophytum pauciflorum;17.3;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;NA
Sarcophyton trocheliophorum;22;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Sinularia densa;10;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Sinularia hirta;8;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;NA
Sinularia sp.;20;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Capnella sp.;3;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Dendronephthya gigantea;89.6;Azooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Lemnalia rhabdota;16.3;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Litophyton arboreum;25;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Paralemnalia clavata;22.9;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Paralemnalia digitiformis;18.4;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;NA
Xenia elongata;23.1;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Isis hippuris;13;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Hicksonella princeps;38.3;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Rumphella aggregata;19;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Bebryce indica;54.6;Azooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Melithaea aurantia;53.8;Azooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Melithaea hicksoni;46.7;Azooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Tubipora musica;6.3;Zooxanthellate;Sorokin;1991;Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals;Marine and Freshwater Research;111;1;Tropical
Pseudoplexaura porosa;154.2;Zooxanthellate;Coffroth;1984;Ingestion and incorporation of cora mucus aggregates by a gorgonian soft coral;Marine Ecology Progress Series;118;1;Tropical
Litophyton arboreum;843;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;;Tropical
Heteroxenia fuscescens;796.2;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;1;Tropical
Heteroxenia ghardaqensis;725.9;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;1;Tropical
Ovabunda macrospiculata;702.5;Zooxanthellate;Mergner and Svoboda;1977;Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea);Helgoländer Wissenschaftliche Meeresuntersuchungen;129;1;Tropical
