Authors;Year;Title;Journal;study.ID;carbon;n
Chang et al;2020;Culture systems influence the physiological performance of the soft coral Sarcophyton glaucum;Scientific Reports;1;NoData;1
Fujii et al;2020;Organic carbon and nitrogen isoscapes of reef corals and algal symbionts: Relative influences of environmental gradients and heterotrophy;Microorganisms;2;NoData;1
Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;3;Data;1
Vollstedt et al;2020;Organic eutrophication increases resistance of the pulsating soft coral Xenia umbellata to warming;PeerJ;4;NoData;1
Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;5;Data;1
Ramsby et al;2019;Symbiosis and host morphological variation: Symbiodiniaceae photosynthesis in the octocoral Briareum asbestinum at ambient and elevated temperatures;Coral Reefs;6;Data;1
Reichert et al;2019;Impacts of microplastics on growth and health of hermatypic corals are species-specific;Environmental Pollution;7;NoData;1
Rossi et al;2019;Polyp expansion of passive suspension feeders: A red coral case study;PeerJ;8;NoData;1
Slattery et al;2019;Annual Thermal Stress Increases a Soft Coral’s Susceptibility to Bleaching;Scientific Reports;9;NoData;1
Corry et al;2018;Functional role of the soft coral Dendronephthya australis in the benthic food web of temperate estuaries;Marine Ecology Progress Series;10;NoData;1
Grinyó et al;2018;Reproduction, energy storage and metabolic requirements in a mesophotic population of the gorgonian Paramuricea macrospina;PLoS ONE;11;NoData;1
López-Gonzalez et al;2018;Thread-like tentacles in the Mediterranean corals Paramuricea clavata and Corallium rubrum;Mediterranean Marine Science;12;NoData;1
McCauley et al;2018;Species traits dictate seasonal-dependent responses of octocoral–algal symbioses to elevated temperature and ultraviolet radiation;Coral Reefs;13;NoData;1
Goulet et al;2017;The effects of elevated seawater temperatures on Caribbean gorgonian corals and their algal symbionts, Symbiodinium spp.;PLoS ONE;14;NoData;1
Servetto et al;2017;Seasonal trophic ecology of the dominant Antarctic coral Malacobelemnon daytoni (Octocorallia, Pennatulacea, Kophobelemnidae);Marine Environmental Research;15;NoData;1
Baillon et al;2016;Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic;Acta Zoologica;16;NoData;1
Costa et al;2016;The effect of mixotrophy in the ex situ culture of the soft coral Sarcophyton cf. glaucum;Aquaculture;17;NoData;1
Girard et al;2016;Mutualistic symbiosis with ophiuroids limited the impact of the Deepwater Horizon oil spill on deep-sea octocorals;Marine Ecology Progress Series;18;NoData;1
Imbs et al;2016;Lipids and fatty acids of cold-water soft corals and hydrocorals: A comparison with tropical species and implications for coral nutrition;Marine Biology;19;NoData;1
Mehrotra et al;2016;A large gape facilitates predation on salps by Heteropsammia corals;Marine Biodiversity;20;NoData;1
Piccinetti et al;2016;Herbivory in the soft coral Sinularia flexibilis (Alcyoniidae);Scientific Reports;21;NoData;1
Taylor et al;2016;Plastic microfibre ingestion by deep-sea organisms;Scientific Reports;22;NoData;1
Viladrich et al;2016;Variation in lipid and free fatty acid content during spawning in two temperate octocorals with different reproductive strategies: surface versus internal brooder;Coral Reefs;23;NoData;1
Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;24;Data;1
Bednarz et al;2015;Seasonal variation in dinitrogen fixation and oxygen fluxes associated with two dominant zooxanthellate soft corals from the northern Red Sea;Marine Ecology Progress Series;25;Data;1
Coma et al;2015;Natural heterotrophic feeding by a temperate octocoral with symbiotic zooxanthellae: a contribution to understanding the mechanisms of die-off events;Coral Reefs;26;Data;1
Ferrier-Pagès et al;2015;Photophysiology and daily primary production of a temperate symbiotic gorgonian;Photosynthesis Research;27;Data;1
Hutagalung et al;2014;Isolation, identification and growth optimization of microalgae derived from soft coral Dendronephthya sp.;APCBEE Procedia;28;NoData;1
Leal et al;2014;Coral feeding on microalgae assessed with molecular trophic markers;Molecular Ecology;29;NoData;1
Leal et al;2014;Temporal changes in the trophic ecology of the asymbiotic gorgonian Leptogorgia virgulata;Marine Biology;30;NoData;1
Ramsby et al;2014;Symbiodinium photosynthesis in Caribbean octocorals;PLoS ONE;31;Data;1
Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;32;NoData;1
Cocito et al;2013;Nutrient acquisition in four mediterranean gorgonian species;Marine Ecology Progress Series;33;NoData;1
Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;34;NoData;1
Ezzat et al;2013;The Response of the Mediterranean Gorgonian Eunicella singularis to Thermal Stress Is Independent of Its Nutritional Regime;PLoS ONE;35;Data;1
Gori et al;2013;Effects of food availability on the sexual reproduction and biochemical composition of the Mediterranean gorgonian Paramuricea clavata;Journal of Experimental Marine Biology and Ecology;36;NoData;1
Kremien et al;2013;Benefit of pulsation in soft corals;Proceedings of the National Academy of Sciences of the United States of America;37;Data;1
Rocha et al;2013;Effect of light intensity on post-fragmentation photobiological performance of the soft coral Sinularia flexibilis;Aquaculture;38;NoData;1
Sammarco and Strychar;2013;Responses to High Seawater Temperatures in Zooxanthellate Octocorals;PLoS ONE;39;NoData;1
Bednarz et al;2012;Inorganic nutrient availability affects organic matter fluxes and metabolic activity in the soft coral genus Xenia;Journal of Experimental Biology;40;NoData;1
Chan et al;2012;An experimental study of the response of the gorgonian coral Subergorgia suberosa to polluted seawater from a former coastal mining site in Taiwan;Zoological Studies;41;NoData;1
Gomes et al;2012;Prey selectivity of the octocoral Carijoa riisei at Pernambuco, Brazil;Anais Da Academia Brasileira De Ciencias;42;NoData;1
Gori et al;2012;Reproductive cycle and trophic ecology in deep versus shallow populations of the Mediterranean gorgonian Eunicella singularis (Cap de Creus, northwestern Mediterranean Sea);Coral Reefs;43;NoData;1
Grossowicz and Benayahu;2012;Differential morphological features of two Dendronephthya soft coral species suggest differences in feeding niches;Marine Biodiversity;44;NoData;1
Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;45;NoData;1
Baker et al;2011;Light-mediated 15N fractionation in Caribbean gorgonian octocorals: Implications for pollution monitoring;Coral Reefs;46;NoData;1
Khales et al;2011;Energy budget for the cultured, zooxanthellate octocoral Sinularia flexibilis;Marine Biotechnology;47;Data;1
Tseng et al;2011;Effects of sedimentation on the gorgonian Subergorgia suberosa (Pallas, 1766);Marine Biology;48;NoData;1
Williamson et al;2011;Effects of salinity and sedimentation on the Gorgonian Coral, Leptogorgia virgulata (Lamarck 1815);Journal of Experimental Marine Biology and Ecology;49;NoData;1
Baker et al;2010;Caribbean octocorals record changing carbon and nitrogen sources from 1862 to 2005;Global Change Biology;50;NoData;1
Previati et al;2010;Oxygen consumption in Mediterranean octocorals under different temperatures;Journal of Experimental Marine Biology and Ecology;51;Data;1
Sherwood et al;2010;Nitrogen isotopic records of terrestrial pollution encoded in floridian and bahamian gorgonian corals;Environmental Science and Technology;52;NoData;1
Williams and Grottoli;2010;Stable nitrogen and carbon isotope (?15N and ?13C) variability in shallow tropical Pacific soft coral and black coral taxa and implications for paleoceanographic reconstructions;Geochimica et Cosmochimica Acta;53;NoData;1
Carlier et al;2009;Trophic relationships in a deep mediterranean cold-water coral bank (Santa Maria di Leuca, Ionian sea);Marine Ecology Progress Series;54;NoData;1
Ferrier-Pagès et al;2009;Physiological response of the symbiotic gorgonian Eunicella singularis to a longterm temperature increase;Journal of Experimental Biology;55;NoData;1
Khales et al;2009;Light-dependency of growth and secondary metabolite production in the captive zooxanthellate soft coral sinularia flexibilis;Biotechnology;56;NoData;1
Lira et al;2009;Trophic ecology of the octocoral Carijoa riisei from littoral of Pernambuco, Brazil. I. Composition and spatio-temporal variation of the diet;Journal Of The Marine Biological Association Of The United Kingdom;57;NoData;1
Fabricius and De'ath;2008;Photosynthetic symbionts and energy supply determine octocoral biodiversity in coral reefs;Ecology;58;NoData;1
Sherwood et al;2008;Stable C and N isotopic composition of cold-water corals from the Newfoundland and Labrador continental slope: Examination of trophic, depth and spatial effects;Deep-Sea Research Part I: Oceanographic Research Papers;59;NoData;1
Al-Sofyani et al;2007;A comparative study of the components of the hard coral Seriatopora hystrix and the soft coral Xenia umbellata along the Jeddah coast, Saudi Arabia;Revista de Biologia Marina y Oceanografia;60;NoData;1
