OrigName;Group;Family;Genus;Species;AphiaID;rank;UsedName;study ID;Authors;Year;Title;Journal;OctoClade;ZooClade;Symbiont;Realm;Province;Ecoregion;Climate;DepthMin;DepthMax;StudyType;StudyTypeN;ResearchProblem;ResearchProblemN;Hmean;Hsd;Hconsidering;Pmean;Psd;Rmean;Rsd;CHARmean;CZARmean;SfG;count;revision ok?;info
Sarcophyton glaucum;Alcyoniina;Alcyoniidae;Sarcophyton;Sarcophyton glaucum;209621;Species;Sarcophyton glaucum;1;Chang et al;2020;Culture systems influence the physiological performance of the soft coral Sarcophyton glaucum;Scientific Reports;A;C;Zooxanthellate;Central Indo-Pacific;South Kuroshio;South Kuroshio;Tropical;7;8;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Heliopora coerulea;Helioporacea;Helioporidae;Heliopora;Heliopora coerulea;210725;Species;Heliopora coerulea;2;Fujii et al;2020;Organic carbon and nitrogen isoscapes of reef corals and algal symbionts: Relative influences of environmental gradients and heterotrophy;Microorganisms;B;C;Zooxanthellate;Central Indo-Pacific;South Kuroshio;South Kuroshio;Tropical;0.5;5;Descriptive field study;1;"Natural diet description; Prey selectivity; Seasonal variability; Food web description";4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pterogorgia anceps;Holaxonia;Gorgoniidae;Pterogorgia;Pterogorgia anceps;290922;Species;Pterogorgia anceps;3;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;2;2;"Descriptive field study; Laboratorial study";2;"Natural diet description; Role of autotrophy; Seasonal variability";3;7.2;0.1;Zooplankton;374.5;41.6;359.4;27.8;2;104.2;22.3;1;ok;Fig 5 and 6. We used Data Thief III and calculated the mean.
Plexaurella nutans;Holaxonia;Plexaurellidae;Plexaurella;Plexaurella nutans;290819;Species;Plexaurella nutans;3;Rossi et al;2020;Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends;Coral Reefs;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;2;2;"Descriptive field study; Laboratorial study";2;"Natural diet description; Role of autotrophy; Seasonal variability";3;0.9;0.6;Zooplankton;327.1;24.1;212.5;1;0.5;153.9;115.5;1;ok;Fig 5 and 6. We used Data Thief III and calculated the mean.
Xenia umbellata;Alcyoniina;Xeniidae;Xenia;Xenia umbellata;210023;Species;Xenia umbellata;4;Vollstedt et al;2020;Organic eutrophication increases resistance of the pulsating soft coral Xenia umbellata to warming;PeerJ;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;Laboratorial study;1;Feeding responses to environmental forces;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Rhytisma fulvum (shallow);Alcyoniina;Alcyoniidae;Rhytisma;Rhytisma fulvum;290991;Species;Rhytisma fulvum (shallow);5;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;8;40;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;554;38;347;45;NA;159.7;NA;1;ok;Original data
Rhytisma fulvum (deep);Alcyoniina;Alcyoniidae;Rhytisma;Rhytisma fulvum;290991;Species;Rhytisma fulvum (deep);5;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;8;40;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;710;45;489;47;NA;145.2;NA;1;ok;Original data
Litophyton sp. (shallow);Alcyoniina;Nephtheidae;Litophyton;NA;204523;Genus;Litophyton sp. (shallow);5;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;A;A;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;8;40;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;958;93;406;18;NA;236;NA;1;ok;Original data
Litophyton sp. (deep);Alcyoniina;Nephtheidae;Litophyton;NA;204523;Genus;Litophyton sp. (deep);5;Pupier et al;2019;Productivity and carbon fluxes depend on species and symbiont density in soft coral symbioses;Scientific Reports;A;A;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;8;40;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;829;125;148;47;NA;560.1;NA;1;ok;Original data
Briareum asbestinum 1;Scleraxonia;Briareidae;Briareum;Briareum asbestinum;289534;Species;Briareum asbestinum 1;6;Ramsby et al;2019;Symbiosis and host morphological variation: Symbiodiniaceae photosynthesis in the octocoral Briareum asbestinum at ambient and elevated temperatures;Coral Reefs;B;B, C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;5;5;Laboratorial study;1;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;101.4;NA;1;ok;Fig. 3 (29.5ºC) We used Data Thief III.
